#汉字	同音同调	同音异调
一	壹漪	以义移易
嫂	扫	骚艘搔
嫉	辑即籍吃棘脊唧借急击级寂集及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
嫌	衔弦涎舷闲贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
嫡	笛的嘀涤敌芽	弟抵蒂低递帝滴底第地缔
嬉	悉膝熙厘畦栖吸携晰析行西牺犀稀溪希蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
子	仔滓籽紫	资滋自字姿吱咨
孔	恐	控空
孕	晕酝运蕴韵员	陨允云耘匀
字	自	资滋紫仔姿籽子吱滓咨
存		村寸
孙		笋损
孝	效肖笑酵校啸	嚣晓哮削宵小硝箫销萧学消
孟	梦	锰蒙萌猛檬朦盟
季	际纪妓荠祭记剂系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
孤	估沽辜家咕姑	固股凸贾古雇鼓顾告滑故骨谷
学	穴	靴哮肖削宵雪笑硝校萧消啸孝嚣晓小箫销酵效薛血
孩	还	骇咳害亥海
孵	肤麸敷夫	妇赴辐浮缚腹符伏拂付脯附赋斧福父俘负袱甫芙傅蝠咐抚俯府辅富复幅服扶腐副
孽	聂镊	捏
宁	拧凝狞柠	泞
宅	浙这蔗	窄斋遮债摘辙哲齐祭着责寨者折
宇	予屿雨与语羽	于愈愉榆浴淤狱渔娱豫舆隅遇谷喻域逾裕玉尉育誉鱼寓欲愚御迂郁预吁芋
守	首手	售收熟兽瘦受授寿
安	鞍庵氨	按案暗岸俺
宋	诵颂送讼	耸松
完	玩丸顽	万腕碗娩宛豌惋湾婉晚弯挽
宏	洪鸿红虹	汞轰哄烘
宗	踪棕纵综	从总
官	观关棺冠	馆管惯贯罐灌
宙	咒昼皱	肘舟周州粥洲轴帚
定	锭订钉	丁盯叮鼎顶
宛	碗娩渊冤鸳婉晚挽	原完园元顽远腕怨袁湾猿源万愿豌援惋弯院圆玩辕丸缘员
宜	夷疑蛇遗仪一移姨胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
宝	堡饱保	爆包刨暴薄雹苞豹褒抱报胞
实	硕提食什时石十蚀拾射	拭匙势室施屎使柿侍驶饰誓狮氏诗恃示式史事释适嗜尸失逝是虱士市世矢试视识始师湿
宠		虫充重崇冲
审	婶沈	甚呻神慎信肾申绅渗深参身伸
客	克课刻可	磕苛咳坷科蝌棵壳渴颗
宣	喧轩	选炫漩玄悬旋还县
室	拭势逝是使柿侍市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
宦	唤换幻痪焕涣患	缓环欢还
宪	现馅陷腺线限献县	仙嫌显衔闲弦险掀先纤涎舷癣鲜铣贤咸
宫	弓共攻蚣躬工公供恭功红	拱汞巩贡矿
宰	仔载	灾栽在再
害	骇亥	孩咳还海
宴	谚咽淹焰艳雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
宵	嚣哮削硝箫销萧消	孝晓肖校小笑酵效学啸
家	佳加夹嘉茄	荚钾挟价架稼甲颊夏嫁贾假驾
家	沽辜估佳加咕姑孤夹嘉茄	凸钾价甲顾荚股古稼雇嫁架假谷挟鼓告滑夏骨驾贾颊故固
容	溶荣绒蓉榕熔融茸	冗
宽		款
宾	缤滨彬濒	鬓
宿	锈缩臭速肃袖粟塑诉嗅素秀朽溯绣	羞酥休俗苏修
寂	辑即籍吃棘脊唧借急嫉击级集及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
寄	际纪妓荠祭季记剂系既计鲫继技济忌冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
密	蜜秘觅泌	咪靡弥米迷谜糜
寇	扣	口
富	附妇赴傅赋复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
寒	韩函涵汗含	罕旱悍喊和翰撼憾捍焊汉酣
寓	域裕玉愈尉育誉浴欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
寝		勤亲擒秦钦琴禽侵芹
寞	默漠磨墨脉末沫莫膜陌茉没	么蘑摩魔抹摸摹模
察	茶查	刹岔叉喳差插
寡		瓜挂褂卦蜗括刮
寥	聊撩疗缭辽潦燎僚嘹	了料
寨	债祭责	窄斋宅摘齐
寸		村存
对	兑队	堆
寺	食四饲伺肆似赐	死司丝思斯撕嘶私
寻	巡旬询驯循	逊衅欣讯薪殉训新辛信勋心锌迅汛芯
导	道悼到稻盗倒岛祷蹈捣	刀叨
寿	售兽瘦授受	收首守手熟
封	丰疯峰风枫锋讽蜂	奉凤缝逢冯
射	页咽提硕时业舍蚀叶拾涉摄谒设社实食什石十夜赦	拭匙势室施屎使柿侍驶饰冶誓狮氏舌诗恃示奢野式史事释嗜适尸失逝是虱士市世赊矢试视甚爷识蛇椰也始师湿
将	浆姜江酱抢僵强匠疆呛枪缰降腔	桨蒋墙讲奖
尉	为卫位喂愈未胃味浴慰谓狱与豫遇语谷喻域裕畏玉伪育誉遗寓欲蔚御郁预魏吁芋	委屿于愉维榆威偎淤苇娱渔围舆隅羽巍逾雨予薇违鱼萎纬愚微桅迂尾伟唯危宇
尊	遵	俊
小	晓	哮肖削宵笑硝校萧消啸嚣孝箫销酵效学
少	绍召哨	稍捎梢勺烧芍
尔	耳饵	二贰而儿
尖	坚兼艰溅歼煎渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
尘	沈臣晨沉陈辰忱	趁称衬
尚	上	商裳汤赏伤晌
尝	场长偿常肠裳	唱昌厂畅倡敞猖
尤	由犹游邮油	佑忧幽悠友又诱有幼优右
就	舅臼旧救疚究	九酒久揪鸠韭灸纠玖
尸	狮失诗施虱师湿	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
尺	齿耻侈	翅匙斥驰迟池赤持吃嗤弛
尼	泥呢	你逆溺匿腻拟
尽	进劲仅禁浸近晋	津金斤锦紧巾今谨筋襟
尽	进紧锦劲仅谨禁浸近晋	津金斤巾今筋襟
尾	委伟椅乙苇矣蚁纬萎已以倚	喂艺医未味威仪疫忆谓翼奕液毅一议巍谊畏腋薇逸掖义移役蔚易姨微宜亿绎译蛇危夷为卫疑位肄维胃意抑偎伊慰异漪衣益围屹艾依邑尉伪亦违遗溢胰桅揖唯壹魏
尿		鸟
局	鞠橘菊	聚蛆沮居车具俱炬举锯句据拘巨剧距拒驹惧矩足
屁	辟僻譬	否匹脾霹啤批坏被罢疲皮劈披
层	曾
居	激绩叽蛆稽沮车俱唧机锯几迹拘基饥箕奇驹积肌其畸鸡期讥	纪妓聚即给籍荠具棘吃脊炬举急借局记嫉既鲫级集寂巨及继济橘挤寄矩冀吉骑足际辑祭句季剂据菊击系计鞠剧距技忌拒圾惧己极疾
屈	曲圈蛆趋躯岖驱区	漆去取娶趣渠
屉	骇惕涕屑谢剃蟹卸替契泻楔解懈械	体提鞋谐歇邪剔啼写协些蹄堤题挟携斜胁梯血踢
届	介界解借诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
屋	于巫诬乌呜污恶	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
屎	使史驶始矢	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
屏	苹萍饼平禀柄评秉坪丙冯瓶凭	冰兵乒病并
屑	骇屉谢蟹卸契泻楔解懈械	鞋写挟协些携谐歇斜邪血胁
展	崭斩盏	栈暂毡战占沾站瞻蘸绽颤
属	暑贮嘱主煮黍鼠薯数蜀署拄	朱住猪筑术珠曙轴束书助蛛柱铸庶恕漱舒熟逐树梳叔述诸赎株抒疏注殊枢祝输淑竖竹烛蛀蔬墅驻
屠	凸徒涂图突途	土吐兔秃
屡	侣履旅娄缕铝吕	氯滤律绿虑驴率
履	侣屡旅娄缕铝吕	氯滤律绿虑驴率
屯	囤谆臀	吞褪准
山	衫杉删珊扇	闪陕善单赡擅膳
屹	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅译绎艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
屿	予雨与语羽宇	于愈愉榆浴淤狱渔娱豫舆隅遇谷喻域逾裕玉尉育誉鱼寓欲愚御迂郁预吁芋
岁	祟穗碎隧遂	随髓虽
岂	启凯稽乞慨楷起	泣迄戚漆畦脐妻开七只鳍气奇砌契凄企祈骑枝旗栖期欺歧柒咳器棋弃汽齐其溪崎揩
岔	刹差	察叉插喳查茶
岖	曲圈屈蛆趋躯驱区	漆去取娶趣渠
岗	扛港纲冈缸肛钢刚
岛	导倒祷捣	道叨悼到稻盗刀蹈
岭	领	凌灵另菱令玲伶蛉铃陵龄翎零
岳	悦越阅耀药粤跃说乐钥月	约
岸	案按暗	鞍庵氨俺安
峡	狭匣洽挟暇侠霞斜辖	虾厦瞎下吓夏
峦		卵乱
峭	窍跷撬壳翘俏	巧桥侨锹瞧憔乔鹊敲悄雀
峰	丰疯风封枫锋讽蜂	奉凤缝逢冯
峻	骏俊竣菌	窘君钧均龟军
崇	虫重	宠充冲
崎	只鳍枝旗棋畦奇齐其脐祈歧骑期	泣迄戚稽漆妻七气砌契凄企启栖欺柒起器乞弃汽溪岂
崔	催衰摧	悴翠脆粹
崩	绷	蹦
崭	斩盏展	栈暂毡战占沾站瞻蘸绽颤
嵌	千迁牵纤签谦铅	干浅潜欠黔谴前钱钳遣歉
巍	为薇维围违唯危微桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
川	穿	传喘船串
州	周舟粥洲	昼肘咒皱帚轴宙
巡	寻旬询驯循	逊讯训勋迅汛殉
巢	朝嘲潮	吵抄钞超炒剿
工	宫弓共攻蚣躬公供恭功红	拱汞巩贡矿
左		凿作做坐昨座
巧	悄鹊雀	窍桥侨峭锹跷瞧撬憔壳乔翘俏敲
巨	聚剧距具拒俱惧炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
巩	共拱矿汞	宫红弓攻蚣躬工公贡恭功供
巫	蜈吴于无芜亡诬梧乌屋呜污恶	武舞务伍勿雾晤误物坞悟捂侮午鹉五
差	刹雌岔叉喳插拆	瓷厕察柴次刺词此赐伺查茶祠辞豺慈磁
己	给济挤脊几	纪妓叽即稽籍荠吃棘唧借记急嫉迹既鲫基集级寂及饥箕继奇积寄畸冀吉骑讥际激绩辑居祭机季剂击系计技忌圾肌其鸡期极疾
已	尾椅乙蚁矣以倚	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
巴	八扒捌笆芭疤吧叭	爸靶霸把伯耙罢拔跋坝
巷	像相橡项向乡象	想祥箱镶厢详享响湘翔香降
巾	津金斤禁浸今筋襟	进尽锦紧劲仅谨近晋
币	庇毙臂毕弊必避辟泌壁碧璧闭比蔽鄙	逼彼鼻匕笔
市	拭势逝室是使柿侍士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
布	埠步簿怖部不	捕补哺卜
帅	蟀硕烁数率勺	说摔甩衰
帆	樊繁烦番凡翻矾	返范犯泛饭反贩
师	狮失施诗虱湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
希	悉膝熙厘畦栖吸携晰析行西牺犀稀嬉溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
帐	丈涨长胀杖仗账障	彰掌樟张章
帕	怕	爬趴耙扒
帖	贴铁
帘	怜连镰莲联廉	恋练脸敛炼链
帚	肘	昼舟周咒州粥皱洲轴宙
帜	智挚知致治滞质识稚至制秩置志窒	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
帝	的弟蒂递第地缔	笛抵嘀低嫡滴底涤敌芽
带	贷戴袋大待逮代怠	歹呆
席	习袭息媳昔惜熄锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
帮	傍梆邦	蚌谤旁膀榜磅棒绑
常	场长偿尝肠裳	唱昌厂畅倡敞猖
帽	贸冒貌茂	毛茅矛锚猫
幅	芙辐蝠浮福服缚俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
幌	恍谎晃	黄荒皇慌煌凰惶蝗
幔	漫蔓曼慢	瞒蛮满馒
幕	募木慕暮沐目牧墓穆睦	亩姥姆母拇模牡
幢	撞床	抢窗囱闯疮创
干		感赶敢肝竿秆杆甘柑橄
干	潜肝黔前钱竿钳杆甘柑	浅感嵌千赶迁欠敢牵纤签谴秆铅谦遣歉橄
干	肝竿杆甘柑	感赶敢秆橄
平	苹萍评屏坪冯瓶凭	乒
年		撵碾念捻
并	病	饼柄禀冰兵秉屏丙
幸	性辛兴姓杏	邢行型刑形醒腥星猩省
幻	唤换痪宦焕涣患	缓环欢还
幼	佑又诱有右	忧幽尤悠犹游由邮友油优
幽	悠优忧	佑尤由游友邮犹又油诱有幼右
广		逛光
庄	妆装桩	壮撞状
庆	亲	氢清倾卿情擎轻顷请蜻晴青
庇	毙臂毕弊币必避辟泌壁碧璧闭比蔽鄙	逼彼鼻匕笔
床	撞幢	抢窗囱闯疮创
序	叙畜绪恤酗絮旭婿蓄续	许徐需虚须吁
庐	芦炉卢颅	露录鹿氯卤陆路鲁虏赂碌
库	裤酷	窟枯苦哭
应	莺鹦婴英映缨樱硬鹰	荧影营迎景蝇赢萤莹颖盈
底	抵	嘀蒂嫡帝芽缔笛的弟低递滴第涤敌地
店	垫殿甸玷淀佃奠电惦	颠典点碘
庙	妙	描秒瞄苗渺藐
府	斧父抚俯甫腐辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
庞	膀螃旁	胖乓磅
废	吠费沸肺	啡肥菲非诽飞匪
度	肚渡踱堕舵杜惰跺驮镀妒	牍朵夺堵躲督毒都读多睹独赌
座	凿坐作做	昨左
庭	蜓廷亭停	厅艇听挺
庵	鞍安氨	按案暗岸俺
庶	树疏术数述竖束署曙恕墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
康	糠慷	抗扛炕
庸	拥佣	泳蛹踊用咏勇永
廉	帘怜连镰莲联	恋练脸敛炼链
廊	狼琅郎榔	浪朗
廓	扩括阔
延	炎颜阎沿研癌盐言严	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
廷	庭蜓亭停	厅艇听挺
建	践溅鉴渐健荐监件涧键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
开	揩	咳凯慨楷岂
异	腋邑逸艺肄掖亦意抑义溢疫役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
弃	泣器迄气砌汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
弄		农浓脓
弊	庇毙臂毕币必避辟泌壁碧璧闭比蔽鄙	逼彼鼻匕笔
式	拭势逝室是使柿侍市士世饰适誓试氏视恃示识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
弓	宫共攻蚣躬工公供恭功红	拱汞巩贡矿
引	瘾隐听饮蚓	印吟淫银因殷茵音姻阴
弛	匙驰池迟持	翅斥赤吃尺嗤齿耻侈
弟	的蒂递帝第地缔	笛抵嘀低嫡滴底涤敌芽
张	章彰樟	丈涨掌长帐胀杖仗账障
弥	谜迷靡糜	密咪蜜米秘觅泌
弦	嫌衔舷涎闲贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
弧	壶狐胡葫糊蝴湖	许呼沪互戏唬户乎护虎忽
弯	豌湾	玩顽万腕碗宛娩丸完惋婉晚挽
弱	若
弹	檀淡痰石坛昙氮担蛋谈谭旦但潭诞	贪瘫丹单毯胆碳摊叹耽探滩袒坦炭
强	将酱抢匠墙降	桨姜浆江蒋僵疆讲呛枪缰奖腔
归	傀规瑰龟闺	跪鬼诡桂柜贵轨
当	铛裆	挡荡档党
当	铛裆荡挡	档党
录	露鹿氯陆路赂碌	卢炉卤芦颅鲁庐虏
形	邢行刑型	醒腥星性兴姓猩杏幸省
彤	桐铜童同瞳	统筒桶痛通
彩	采踩睬	菜财材猜才裁
彪	标膘	表
彬	缤宾滨濒	鬓
彭	棚膨硼鹏篷澎蓬朋	捧碰烹砰
彰	章张樟	丈涨掌长帐胀杖仗账障
影	景颖	鹦婴蝇应映缨赢萤硬荧莺营迎英樱莹盈鹰
役	腋邑逸艺肄掖亦意抑义溢疫异易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
彻	撤澈辙	车扯
彼	匕笔比鄙	逼庇壁毙碧璧臂毕闭鼻弊币必避蔽泌辟
往	网枉	旺忘妄王亡望汪
征	丁正筝怔症狰睁挣蒸争	政整郑证拯
征	址正止纸趾症狰筝怔争只丁指旨睁挣蒸	植致整治制直脂窒掷氏织帜执稚蜘之郑志拯智挚政枝肢值职至支秩吱置证汁芝知滞殖识质
径	境竞静净劲敬靖竟镜	颈兢惊鲸经精睛阱荆茎井警京更景晶
待	贷戴袋带大代逮呆怠	歹
很	狠	痕恨
徊	怀淮槐	坏
律	氯滤绿虑率	侣履屡旅娄驴缕铝吕
徐		叙畜绪恤酗旭蓄许需序虚絮婿吁续须
徒	凸涂图突屠途	土吐兔秃
得	德的
徘	排牌	拍湃派
徙	洗喜	悉熙厘习畦惜锡戏媳隙牺西希膝息栖吸携晰熄析席夕行系袭昔犀稀溪嬉蟋细
御	域裕玉愈尉育誉浴寓欲芋狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
循	巡寻旬询驯	逊讯训勋迅汛殉
微	为薇维围违唯危巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
德	得	的
徽	恢堕挥辉灰	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
心	欣薪新辛锌芯	衅信寻
必	庇毙臂毕弊币避辟泌壁碧璧闭比蔽鄙	逼彼鼻匕笔
忆	腋邑逸艺肄掖亦意抑义溢疫异役易翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
忌	际纪妓荠祭季记剂系既计鲫继技济寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
忍		赁认韧纫人刃儿仁任
志	智挚致治制至秩置窒知滞帜识稚质	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
忘	王旺妄望	往网枉亡汪
忙	氓盲芒茫	莽
忠	中盅衷终钟	种肿众重仲
忧	悠优幽	佑尤由游友邮犹又油诱有幼右
快	筷会块刽
忱	沈臣晨沉尘陈辰	趁称衬
念		年撵碾捻
忽	呼乎戏	壶许沪互狐唬户胡护葫虎糊蝴弧湖
忿	愤粪奋分份	粉芬吩焚纷氛坟
怀	淮徊槐	坏
态	泰汰太	台抬胎苔
怒		努奴
怔	丁正征筝症狰睁挣蒸争	政整郑证拯
怕	帕	爬趴耙扒
怖	埠步簿部布不	捕补哺卜
怜	帘连镰莲联廉	恋练脸敛炼链
思	司丝斯撕嘶私	死食四饲伺肆似赐寺
怠	贷袋带大待逮代戴	歹呆
急	辑即籍吃棘脊唧借嫉击级寂集及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
性	兴姓杏幸	邢行型刑形醒腥星猩省
怨	愿院远	猿源宛原援园元冤鸳圆辕渊缘袁员
怪		拐乖
怯	切壳契鹊确窃雀却	且茄瘸缺
总		宗棕从纵踪综
恃	拭势逝室是使柿侍市士世饰适誓试氏视示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
恋	敛练炼链	帘怜连脸镰莲联廉
恍	幌谎晃	黄荒皇慌煌凰惶蝗
恐	孔	控空
恒	横衡	哼
恕	树疏术数述竖庶束署曙墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
恢	堕挥辉徽灰	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
恤	叙畜绪酗序絮旭婿蓄续	许徐需虚须吁
恨		痕很狠
恬	填甜田	添天舔
恭	宫弓共攻蚣躬工公供功红	拱汞巩贡矿
息	习袭媳昔惜熄席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
恰	洽	卡
恳	肯垦啃
恶	愕于务雾巫诬悟乌屋俄扼噩勿遏饿鳄晤误物坞呜污哑	阿蜈无舞伍额芜鹉梧讹亡午五捂武侮鹅蛾吴
恼	脑	挠闹
悄	巧鹊雀	窍桥侨峭锹跷瞧撬憔壳乔翘俏敲
悉	膝熙厘畦栖吸携晰析行西牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
悍	旱焊翰撼憾捍汗汉	罕韩喊寒和函涵含酣
悔	虫贿毁诲会	恢茴堕惠晦讳汇挥回绘辉徽灰慧溃秽蛔
悟	勿务晤雾物坞误恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
悠	优忧幽	佑尤由游友邮犹又油诱有幼右
患	唤换幻痪宦焕涣	缓环欢还
悦	越阅耀岳药粤跃说乐钥月	约
悬	漩玄旋县	喧选炫轩宣
悯	敏皿闽	民
悲	杯背碑卑	臂贝被辈焙狈惫北备倍
悴	翠脆粹	催崔衰摧
悼	道到稻盗倒导蹈	叨刀岛祷捣
情	请倾晴擎	亲氢庆卿顷轻清蜻青
惊	鲸兢经精睛荆茎京更晶	颈径境竞静阱景净井劲靖警敬竟镜
惋	玩腕万	顽娩碗宛丸豌完湾婉晚弯挽
惑	豁或获货祸霍	活和伙火
惕	屉涕剃替	剔梯提体啼蹄堤题踢
惜	习袭息媳昔熄席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
惠	诲讳贿汇绘晦慧会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
惦	店垫殿甸玷淀佃奠电	颠典点碘
惧	聚巨剧距具拒俱炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
惨		惭残餐灿蚕参
惩	呈成城程诚承乘盛橙澄	称秤撑逞
惫	臂背贝被辈焙狈备倍	卑悲杯北碑
惭	蚕残	惨参餐灿
惯	观冠贯罐灌	馆管官棺关
惰	踱堕舵跺驮度	躲朵夺多
想	享响	像祥向箱镶巷详湘象降橡相项乡厢翔香
惶	黄皇煌凰蝗	恍谎荒慌晃幌
惹	若	热
愁	稠绸畴筹仇酬	臭抽丑
愈	域裕玉尉育誉浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
愉	逾予于渔娱鱼榆舆隅愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
意	腋邑逸艺肄掖亦抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
愕	噩俄遏饿恶鳄扼哑	阿额讹鹅蛾
愚	逾予愉于渔娱鱼榆舆隅	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
感	赶敢秆杆橄	干肝竿甘柑
愤	粪奋分份忿	粉芬吩焚纷氛坟
愧	溃	葵傀窥魁盔亏
愿	怨院远	猿源宛原援园元冤鸳圆辕渊缘袁员
慈	瓷词雌祠辞磁	厕刺此伺差赐次
慌	荒	黄恍谎皇晃煌凰幌惶蝗
慎	肾甚渗	沈伸呻审婶信申绅深参身神
慕	幕募木暮沐目牧墓穆睦	亩姥姆母拇模牡
慢	漫蔓幔曼	瞒蛮满馒
慧	惠讳贿汇绘晦诲会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
慨	楷咳岂凯	揩开
慰	为卫谓位尉喂伪胃未味遗蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
慷	糠康	抗扛炕
憎	增曾	赠
憔	桥侨瞧乔翘	巧窍峭锹跷撬壳俏鹊敲悄雀
憾	旱焊悍翰撼捍汗汉	罕韩喊寒和函涵含酣
懂	董	东冻栋冬洞动
懈	骇屉谢屑蟹卸契泻楔解械	鞋写挟协些携谐歇斜邪血胁
懊	澳傲奥拗	袄熬凹
懒	榄览缆揽	拦蓝澜篮烂栏兰滥
懦	糯诺	挪娜
戈	搁割胳哥鸽疙歌	阁合格革隔葛蛤各个
戏	呼系乎隙忽夕细	悉熙狐沪厘习畦唬惜虎胡锡湖徙媳西喜牺希弧膝互息栖户吸洗携葫晰熄析席许壶行袭昔犀稀嬉溪蟋护糊蝴
成	呈惩城程诚承乘盛橙澄	称秤撑逞
戒	届介界借解诫芥	接节杰竭截揭阶皆街劫捷姊结洁姐
或	获货祸霍惑	豁和伙活火
战	栈暂占站蘸绽颤	盏沾瞻崭毡斩展
戚	漆栖凄溪欺柒妻七	泣迄畦稽脐只鳍气奇砌契企祈骑枝启旗歧起器乞棋弃汽齐其崎岂期
截	节杰竭劫捷结洁	接揭皆阶届街界介姊借解诫戒姐芥
戳		绰
戴	贷袋带大待逮代怠	歹呆
户	沪互护	壶许呼狐戏唬乎胡葫虎忽糊蝴弧湖
房	肪防坊妨	芳放访纺方仿
所	锁琐索	缩唆嗦梭
扁	偏篇翩匾贬	片辫蝙便辨辩遍变边鞭编骗
扇	衫山善杉单删珊赡擅膳	闪陕
手	守首	售收熟兽瘦受授寿
才	财材裁	菜采踩猜彩睬
扎	炸喳渣查闸	眨栅诈乍
扑	铺仆	瀑菩葡朴浦谱暴蒲圃普脯
扒	八爬巴捌耙笆芭疤吧叭	爸靶霸把伯罢趴拔跋坝帕怕
打		大达答搭瘩
扔		仍
托	脱拖	椭唾拓驮驼鸵妥
扛	岗纲冈缸肛钢刚	糠慷抗港炕康
扣	寇	口
执	植值殖职直质掷	址治致制脂窒只氏征织帜稚蜘之志智挚枝肢止纸趾至支秩吱置汁芝知滞指识旨
扩	括阔廓
扫	嫂	骚艘搔
扬	杨洋阳羊	鸯养样痒秧殃氧仰央漾
扭	钮纽	牛拗
扮	半拌伴绊办瓣	班板扳搬颁版般斑
扯		撤澈车辙彻
扰		绕饶
扳	班搬颁般斑	拌扮半伴板版绊办瓣
扶	芙辐蝠浮福幅服缚俘袱符伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
批	匹霹坏被劈披	屁否脾罢啤疲譬皮僻辟
扼	噩愕俄遏饿恶鳄哑	阿额讹鹅蛾
